symbol,name,exchange
372170.KQ,윤성에프앤씨,코스닥
383930.KQ,디티앤씨알오,코스닥
348340.KQ,뉴로메카,코스닥
417500.KQ,제이아이테크,코스닥
108320.KS,LX세미콘,유가
405100.KQ,큐알티,코스닥
417840.KQ,저스템,코스닥
419120.KQ,산돌,코스닥
434190.KS,탈로스,코넥스
405000.KQ,플라즈맵,코스닥
291810.KQ,핀텔,코스닥
378800.KQ,샤페론,코스닥
419540.KQ,비스토스,코스닥
360070.KQ,탑머티리얼,코스닥
389500.KQ,에스비비테크,코스닥
368970.KQ,오에스피,코스닥
417970.KQ,모델솔루션,코스닥
296640.KQ,이노에이엑스,코스닥
441270.KQ,파인엠텍,코스닥
432320.KS,KB스타리츠,유가
067370.KQ,선바이오,코스닥
393890.KQ,더블유씨피,코스닥
314140.KQ,알피바이오,코스닥
413300.KS,티엘엔지니어링,코넥스
394280.KQ,오픈엣지테크놀로지,코스닥
129920.KQ,대성하이텍,코스닥
403550.KS,쏘카,유가
148930.KQ,에이치와이티씨,코스닥
107600.KQ,새빗켐,코스닥
126720.KS,수산인더스트리,유가
368600.KQ,아이씨에이치,코스닥
365340.KQ,성일하이텍,코스닥
397030.KQ,에이프릴바이오,코스닥
341170.KS,퓨쳐메디신,코넥스
424760.KQ,벨로크,코스닥
328130.KQ,루닛,코스닥
354390.KS,바스칸바이오제약,코넥스
403870.KQ,HPSP,코스닥
112290.KQ,와이씨켐,코스닥
402030.KQ,코난테크놀로지,코스닥
396270.KQ,넥스트칩,코스닥
412350.KQ,레이저쎌,코스닥
310210.KQ,보로노이,코스닥
377460.KQ,큐에이드,코스닥
148780.KQ,비큐AI,코스닥
382900.KQ,범한퓨얼셀,코스닥
176590.KS,코나솔,코넥스
362320.KQ,청담글로벌,코스닥
357430.KS,마스턴프리미어리츠,유가
399720.KQ,가온칩스,코스닥
389260.KQ,대명에너지,코스닥
389140.KQ,포바이포,코스닥
388050.KQ,지투파워,코스닥
413630.KQ,씨피시스템,코스닥
417310.KS,코람코더원리츠,유가
396300.KQ,세아메카닉스,코스닥
366030.KQ,공구우먼,코스닥
388720.KQ,유일로보틱스,코스닥
288980.KQ,모아데이타,코스닥
408920.KQ,메쎄이상,코스닥
376930.KQ,노을,코스닥
146320.KQ,비씨엔씨,코스닥
371950.KQ,풍원정밀,코스닥
330730.KQ,스톤브릿지벤처스,코스닥
365900.KQ,브이씨,코스닥
370090.KQ,퓨런티어,코스닥
251120.KQ,바이오에프디엔씨,코스닥
211050.KQ,인카금융서비스,코스닥
137080.KQ,나래나노텍,코스닥
136410.KQ,아셈스,코스닥
276040.KQ,스코넥,코스닥
377330.KQ,이지트로닉스,코스닥
373220.KS,LG에너지솔루션,유가
179530.KQ,애드바이오텍,코스닥
102370.KQ,케이옥션,코스닥
169670.KS,코스텍시스템,코넥스
